experiment,model,error,elapsed
counts,GridSearchCV,0.00946451086347,0:00:45.57
counts,RandomForestRegressor,1.512013,0:00:05.11
counts,GradientBoostingRegressor,2.89183306145,0:00:55.96
counts,NeuralNet,0.0099752803135,0:00:00.29
quad,GridSearchCV,0.157805933029,0:01:24.97
quad,RandomForestRegressor,0.00588199404222,0:00:00.74
quad,GradientBoostingRegressor,0.00480550698535,0:00:02.56
quad,NeuralNet,0.00997148788443,0:00:00.27
sqrt,GridSearchCV,0.00907370825634,0:00:11.11
sqrt,RandomForestRegressor,3.89359181584e-07,0:00:00.93
sqrt,GradientBoostingRegressor,7.31130601133e-07,0:00:00.73
sqrt,NeuralNet,0.00972613038445,0:00:00.26
log,GridSearchCV,0.00883532386592,0:00:05.79
log,RandomForestRegressor,3.30620947482e-07,0:00:00.88
log,GradientBoostingRegressor,5.32652259914e-07,0:00:00.58
log,NeuralNet,0.0099083544884,0:00:00.27
pow,GridSearchCV,0.00533491442627,0:00:11.75
pow,RandomForestRegressor,3.49692829367e-05,0:00:01.05
pow,GradientBoostingRegressor,7.67873884393e-05,0:00:01.29
pow,NeuralNet,0.00890752056995,0:00:00.25
ratio,GridSearchCV,0.435296765901,0:00:47.43
ratio,RandomForestRegressor,0.0189656507113,0:00:01.98
ratio,GradientBoostingRegressor,0.0460121610321,0:00:02.31
ratio,NeuralNet,0.274459074835,0:01:05.71
diff,GridSearchCV,0.000999011975825,0:00:00.61
diff,RandomForestRegressor,1.05171180676e-05,0:00:01.75
diff,GradientBoostingRegressor,2.55857667049e-05,0:00:02.73
diff,NeuralNet,0.009606562712,0:00:00.30
r_poly,GridSearchCV,0.00106413238036,0:00:00.18
r_poly,RandomForestRegressor,2.0182309676e-08,0:00:00.56
r_poly,GradientBoostingRegressor,9.86262041901e-08,0:00:00.10
r_poly,NeuralNet,0.00172665932775,0:00:00.25
poly,GridSearchCV,0.00418424057203,0:00:08.43
poly,RandomForestRegressor,6.19270241117e-06,0:00:01.03
poly,GradientBoostingRegressor,1.35513011874e-05,0:00:01.01
poly,NeuralNet,0.00920029075586,0:00:00.33
r_diff,GridSearchCV,816.168011107,0:01:15.79
r_diff,RandomForestRegressor,10034.1551348,0:00:05.39
r_diff,GradientBoostingRegressor,41837.1702889,0:00:02.87
r_diff,NeuralNet,813.777887961,0:00:06.65
